"RingNumber","ExpScore","Sequence","Sex","TimeAfterSunrise","Species","BroodID","SubplotYear"
"C5H7260",39,1,0.5,3.26666666666667,1,1984,"C12023"
"C5H7269",66,1,-0.5,2.53333333333333,1,2210,"E22023"
"C5H7270",44,1,0.5,2.75,1,2219,"E22023"
"C5H7271",71,1,-0.5,3.93333333333333,1,2219,"E22023"
"C5H7276",53,1,-0.5,10.2,1,2144,"E12023"
"C5H7276",53,2,-0.5,3.8,1,2658,"E12024"
"C5H7278",76,2,-0.5,5.21666666666667,1,2364,"A12024"
"C5H7278",53,1,-0.5,11.9833333333333,1,2153,"E12023"
"C5H7279",55,1,-0.5,6.1,1,1833,"A12023"
"C5H7301",42,2,0.5,3.48333333333333,1,2354,"A12024"
"C5H7301",34,1,0.5,2.23333333333333,1,1839,"A12023"
"C5H7303",36,1,0.5,4.06666666666667,1,1819,"A12023"
"C5H7338",81,1,0.5,3.1,1,1854,"A22023"
"C5H7342",73,1,-0.5,10.1333333333333,1,2164,"E12023"
"C5H7343",68,1,0.5,2.15,1,2245,"F12023"
"C5H7355",68,2,-0.5,5.05,1,2484,"C12024"
"C5H7355",55,1,-0.5,3.43333333333333,1,2066,"C22023"
"C5H7363",71,1,0.5,7.2,1,1994,"C12023"
"C5H7364",86,1,-0.5,4.03333333333333,1,1889,"A22023"
"C5H7386",59,1,-0.5,2.68333333333333,1,2300,"F22023"
"C5H7401",71,1,0.5,5.23333333333333,1,2268,"F22023"
"C5H7402",48,1,-0.5,5.33333333333333,1,2263,"F22023"
"C5H7417",101,1,-0.5,5.86666666666667,1,2234,"F12023"
"C5H7418",67,1,0.5,9.81666666666667,1,2043,"C22023"
"C5H7427",73,1,-0.5,3.31666666666667,1,2040,"C22023"
"C5H7428",75,1,0.5,3.85,1,2044,"C22023"
"C5H7429",36,1,0.5,4.93333333333333,1,2040,"C22023"
"C5H7443",40,1,0.5,2.75,1,2292,"F22023"
"C5H7450",64,1,-0.5,7,1,2018,"C12023"
"C5H7460",31,1,0.5,3.61666666666667,1,2297,"F22023"
"C5H7460",75,2,0.5,3.88333333333333,1,2626,"F22024"
"C5H7461",86,1,-0.5,2.9,1,2042,"C22023"
"C5H7471",70,1,-0.5,3.63333333333333,1,2055,"C22023"
"C5H7481",70,1,-0.5,2.88333333333333,1,2220,"E22023"
"C5H7482",68,1,-0.5,5.11666666666667,1,2197,"E22023"
"C5H7502",77,1,-0.5,8.16666666666667,1,2425,"C12024"
"C5H7503",116,1,-0.5,6.73333333333333,1,2464,"C22024"
"C5H7514",63,1,0.5,5.21666666666667,1,2642,"F22024"
"C5H7521",86,2,-0.5,8.78333333333333,1,2886,"B12025"
"C5H7521",91,1,-0.5,4.16666666666667,1,2537,"B12024"
"C5H7522",57,1,0.5,5,1,2537,"B12024"
"C5H7542",110,1,-0.5,3.15,1,2459,"C12024"
"C5H7604",61,1,0.5,9.3,1,2126,"D22023"
"C5H7604",79,2,0.5,5.16666666666667,1,2782,"D22024"
"C5H7605",37,1,0.5,2.9,1,2013,"C12023"
"C5H7608",114,1,0.5,3.11666666666667,1,2136,"D22023"
"C5H7610",86,1,-0.5,3.2,1,2161,"E12023"
"C5H7650",73,2,0.5,4.18333333333333,1,2672,"E12024"
"C5H7650",74,1,0.5,3.23333333333333,1,2170,"E12023"
"C5H7651",35,1,-0.5,3.9,1,2170,"E12023"
"C5H7694",66,1,-0.5,4.48333333333333,1,2377,"A12024"
"C5H7697",91,1,-0.5,3.61666666666667,1,2621,"F22024"
"C5H7719",60,1,-0.5,2.68333333333333,1,2004,"C22023"
"C5H7730",56,1,-0.5,2.18333333333333,1,2725,"D12024"
"C5H7861",33,1,0.5,3.1,1,2206,"E22023"
"C5H7865",81,1,0.5,4.6,1,2779,"D22024"
"C5H7878",67,1,-0.5,4,1,2321,"F22023"
"C5H7903",108,1,0.5,7.91666666666667,1,2783,"D22024"
"C5H7909",88,1,-0.5,6.78333333333333,1,2411,"A22024"
"C5H7912",66,1,-0.5,5.11666666666667,1,2543,"B22024"
"C5H7924",40,1,0.5,3.35,1,2567,"B12024"
"C5H7925",86,1,-0.5,3.65,1,2567,"B12024"
"C5H8001",75,1,-0.5,3.08333333333333,1,2212,"E22023"
"C5H8009",98,1,-0.5,2.96666666666667,1,1981,"B12023"
"C5H8133",74,1,-0.5,3.43333333333333,1,2446,"C12024"
"C5H8134",114,2,-0.5,4.15,1,3002,"C12025"
"C5H8134",86,1,-0.5,5.48333333333333,1,2474,"C12024"
