"BroodID","year","weight","brood_size","TimeAfterSunrise","Doublebox","Species","TreatmentB","TreatmentG","Ha","Type","SPY","Subplot"
1928,2023,16.35,5,7.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1928,2023,14.96,5,7.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1933,2023,12.86,6,6.36666666666667,0,"G",1,0,6.13,"chick2","B22023","B2"
1933,2023,11.68,6,6.36666666666667,0,"G",1,0,6.13,"chick2","B22023","B2"
1933,2023,14.6,6,6.36666666666667,0,"G",1,0,6.13,"chick2","B22023","B2"
1933,2023,12.86,6,6.36666666666667,0,"G",1,0,6.13,"chick2","B22023","B2"
1933,2023,14.27,6,6.36666666666667,0,"G",1,0,6.13,"chick2","B22023","B2"
1933,2023,14.22,6,6.36666666666667,0,"G",1,0,6.13,"chick2","B22023","B2"
1939,2023,11.99,5,12.2333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1939,2023,11.5,5,12.2333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1939,2023,13.51,5,12.2333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1939,2023,12.76,5,12.2333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1939,2023,12.86,5,12.2333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1941,2023,15.19,4,6.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1941,2023,15.28,4,6.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1941,2023,15.69,4,6.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1941,2023,13.93,4,6.53333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1944,2023,17.61,5,2.63333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1944,2023,16.81,5,2.63333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1944,2023,15.8,5,2.63333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1944,2023,16.27,5,2.63333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1944,2023,16.34,5,2.63333333333333,0,"G",0,0,5.98,"chick2","B12023","B1"
1946,2023,12.07,4,9.95,0,"B",0,0,5.98,"chick2","B12023","B1"
1946,2023,12.69,4,9.95,0,"B",0,0,5.98,"chick2","B12023","B1"
1946,2023,11.75,4,9.95,0,"B",0,0,5.98,"chick2","B12023","B1"
1946,2023,11.86,4,9.95,0,"B",0,0,5.98,"chick2","B12023","B1"
1948,2023,15.6,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1948,2023,17.76,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1948,2023,15.78,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1948,2023,15.13,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1948,2023,16.32,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1948,2023,14.75,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1948,2023,16.07,7,5.71666666666667,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,15.8,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,16.71,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,17.91,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,17.4,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,16.63,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,16.75,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1955,2023,14.28,7,7.5,0,"G",0,0,5.98,"chick2","B12023","B1"
1956,2023,12.08,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1956,2023,11.83,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1956,2023,12,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1956,2023,10.89,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1956,2023,11.17,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1956,2023,11.35,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1956,2023,11.3,7,6.6,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,10.69,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,9.3,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,10.29,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,6.36,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,11.02,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,9.89,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,8.49,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,9.31,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,9.91,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1958,2023,9.43,10,8.78333333333333,0,"B",1,0,6.13,"chick2","B22023","B2"
1959,2023,16.3,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1959,2023,17.09,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1959,2023,17.32,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1959,2023,17.5,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1959,2023,16.8,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1959,2023,16.46,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1959,2023,14.59,7,11.4,0,"G",1,0,6.13,"chick2","B22023","B2"
1964,2023,8.69,11,10.65,0,"B",0,0,5.98,"chick2","B12023","B1"
