"","BroodID","RingNumber","year","Species","Type","Sex","nSamples","AdateSample","timeSample","tube_ID","lab_ID","ClutchNumber","SubplotYear","TreatmentB","TreatmentG","Doublebox","ExpScore","TimeAfterSunrise","Sequence","WithinNestRep"
"510",2489,NA,2024,2,"chick1",2,1,38,"12:40","C_70_3","ND_0925",1,"C22024",0,1,0,NA,NA,NA,"2489_chick1"
"511",2489,"B5G6708",2024,2,"AF",0,1,38,"09:10","C_70_2","ND_0909",1,"C22024",0,1,0,17,3.43333333333333,1,"2489_AF"
"512",2723,NA,2024,2,"chick2",2,3,49,"08:33","D_01_4","ND_1266",1,"D12024",1,0,0,NA,NA,NA,"2723_chick2"
"513",2723,"B5G6959",2024,2,"AM",1,1,44,"08:03","D_01_1","ND_1116",1,"D12024",1,0,0,36,NA,2,"2723_AM"
"514",2068,NA,2023,1,"chick2",2,1,67,"13:48","D_01_4","ND_0806",1,"D12023",0,0,0,NA,NA,NA,"2068_chick2"
"515",2068,NA,2023,1,"chick1",2,3,63,"15:09","D_01_3","ND_0659",1,"D12023",0,0,0,NA,NA,NA,"2068_chick1"
"516",2723,NA,2024,2,"chick1",2,2,44,"09:22","D_01_3","ND_1117",1,"D12024",1,0,0,NA,NA,NA,"2723_chick1"
"517",2723,"B5K0032",2024,2,"AF",0,1,44,"08:13","D_01_2","ND_1105",1,"D12024",1,0,0,54,2.63333333333333,1,"2723_AF"
"518",2725,NA,2024,1,"chick2",2,2,44,"08:40","D_03_4","ND_1115",1,"D12024",1,0,0,NA,NA,NA,"2725_chick2"
"519",2725,"C5H7730",2024,1,"AF",0,1,40,"07:52","D_03_2","ND_0968",1,"D12024",1,0,0,56,2.18333333333333,1,"2725_AF"
"520",2726,"B5K0643",2024,2,"AM",1,1,36,"14:00","D_04_1","ND_0891",1,"D12024",1,0,0,49,8.21666666666667,2,"2726_AM"
"521",2726,"B5K1207",2024,2,"AF",0,1,36,"13:39","D_04_2","ND_0890",1,"D12024",1,0,0,33,7.86666666666667,1,"2726_AF"
"522",2071,NA,2023,2,"chick1",2,1,55,"08:15","D_04_3","ND_0318",1,"D12023",0,0,0,NA,NA,NA,"2071_chick1"
"523",2726,NA,2024,2,"chick1",2,3,36,"14:10","D_04_3","ND_0892",1,"D12024",1,0,0,NA,NA,NA,"2726_chick1"
"524",2073,NA,2023,2,"chick2",2,1,62,"14:23","D_06_4","ND_0653",1,"D12023",0,0,0,NA,NA,NA,"2073_chick2"
"525",2074,"C5H7209",2023,1,"AM",1,1,51,"08:44","D_07_1","ND_0104",1,"D12023",0,0,0,37,3.26666666666667,1,"2074_AM"
"526",2075,NA,2023,2,"chick2",2,2,73,"09:21","D_08_4","ND_0725",1,"D12023",0,0,0,NA,NA,NA,"2075_chick2"
"527",2075,"B5K1464",2023,2,"AM",1,1,68,"13:07","D_08_1","ND_0797",1,"D12023",0,0,0,38,7.86666666666667,1,"2075_AM"
"528",2731,NA,2024,2,"chick2",2,2,45,"11:36","D_09_4","ND_1251",1,"D12024",1,0,0,NA,NA,NA,"2731_chick2"
"529",2731,NA,2024,2,"chick1",2,2,40,"11:39","D_09_3","ND_0995",1,"D12024",1,0,0,NA,NA,NA,"2731_chick1"
"530",2077,NA,2023,1,"chick2",2,NA,60,"13:30","D_10_4","ND_0504",1,"D12023",0,0,0,NA,NA,NA,"2077_chick2"
"531",2077,NA,2023,1,"chick1",2,1,56,"08:46","D_10_3A","ND_0398",1,"D12023",0,0,0,NA,NA,NA,"2077_chick1"
"532",2077,NA,2023,1,"chick1",2,1,56,"08:46","D_10_3B","ND_0383",1,"D12023",0,0,0,NA,NA,NA,"2077_chick1"
"533",2077,"CS87448",2023,1,"AF",0,1,57,"10:06","D_10_2","ND_0416",1,"D12023",0,0,0,57,4.73333333333333,1,"2077_AF"
"534",2733,NA,2024,2,"chick2",2,3,44,"09:52","D_11_4","ND_1109",1,"D12024",1,0,0,NA,NA,NA,"2733_chick2"
"535",2734,NA,2024,2,"chick1",2,2,39,NA,"D_12_3","ND_1053",1,"D12024",1,0,0,NA,NA,NA,"2734_chick1"
"536",2734,NA,2024,2,"chick2",2,3,44,"09:14","D_12_4","ND_1106",1,"D12024",1,0,0,NA,NA,NA,"2734_chick2"
"537",2735,NA,2024,2,"chick2",2,1,44,"07:50","D_13_4","ND_1102",1,"D12024",1,0,0,NA,NA,NA,"2735_chick2"
"538",2735,NA,2024,2,"chick1",2,2,39,"13:44","D_13_3","ND_1090",1,"D12024",1,0,0,NA,NA,NA,"2735_chick1"
"539",2735,"B5G6656",2024,2,"AM",1,1,39,"12:23","D_13_1","ND_1072",1,"D12024",1,0,0,45,6.68333333333333,1,"2735_AM"
"540",2738,NA,2024,1,"chick1",2,1,39,"13:50","D_16_3","ND_1035",1,"D12024",1,0,0,NA,NA,NA,"2738_chick1"
"541",2740,"B4P0802",2024,2,"AF",0,1,37,"12:21","D_18_2","ND_0904",1,"D12024",1,0,0,36,6.6,2,"2740_AF"
"542",2087,NA,2023,1,"chick1",2,1,56,"08:36","D_20_3C","ND_0258",1,"D12023",0,0,0,NA,NA,NA,"2087_chick1"
"543",2087,"C3M0787",2023,1,"AF",0,1,56,"07:53","D_20_2","ND_0241",1,"D12023",0,0,0,78,2.5,2,"2087_AF"
"544",2087,NA,2023,1,"chick2",2,1,60,"13:35","D_20_4","ND_0557",1,"D12023",0,0,0,NA,NA,NA,"2087_chick2"
"545",2087,NA,2023,1,"chick1",2,1,56,"08:36","D_20_3B","ND_0419",1,"D12023",0,0,0,NA,NA,NA,"2087_chick1"
"546",2087,"C3F5942",2023,1,"AM",1,1,58,"16:02","D_20_1","ND_0424",1,"D12023",0,0,0,105,10.6833333333333,3,"2087_AM"
"547",2087,NA,2023,1,"chick1",2,1,56,"08:36","D_20_3A","ND_0234",1,"D12023",0,0,0,NA,NA,NA,"2087_chick1"
"548",2744,"B5K0502",2024,2,"AM",1,1,36,"12:35","D_22_1","ND_0884",1,"D12024",1,0,0,87,6.8,2,"2744_AM"
"549",2744,NA,2024,2,"chick1",2,3,36,"13:21","D_22_3","ND_0889",1,"D12024",1,0,0,NA,NA,NA,"2744_chick1"
"550",2089,NA,2023,2,"chick2",2,1,56,"10:25","D_22_4","ND_0268",1,"D12023",0,0,0,NA,NA,NA,"2089_chick2"
"551",2744,NA,2024,2,"chick2",2,3,41,"11:10","D_22_4","ND_1040",1,"D12024",1,0,0,NA,NA,NA,"2744_chick2"
"552",2746,NA,2024,2,"chick1",2,3,39,"15:10","D_24_3","ND_1153",1,"D12024",1,0,0,NA,NA,NA,"2746_chick1"
"553",2746,"B4P0696",2024,2,"AF",0,1,39,"14:48","D_24_2","ND_0942",1,"D12024",1,0,0,55,9.1,2,"2746_AF"
"554",2746,NA,2024,2,"chick2",2,3,44,"10:52","D_24_4","ND_1111",1,"D12024",1,0,0,NA,NA,NA,"2746_chick2"
"555",2747,NA,2024,2,"chick1",2,2,37,"14:25","D_25_3","ND_0905",1,"D12024",1,0,0,NA,NA,NA,"2747_chick1"
"556",2747,NA,2024,2,"chick2",2,2,42,"15:54","D_25_4","ND_1002",1,"D12024",1,0,0,NA,NA,NA,"2747_chick2"
"557",2747,"B5G6705",2024,2,"AM",1,1,37,"13:40","D_25_1","ND_0903",1,"D12024",1,0,0,54,7.91666666666667,1,"2747_AM"
"558",2097,NA,2023,2,"chick2",2,1,56,"09:10","D_30_4","ND_0253",1,"D12023",0,0,0,NA,NA,NA,"2097_chick2"
"559",2097,NA,2023,2,"chick1",2,1,51,"14:57","D_30_3A","ND_0099",1,"D12023",0,0,0,NA,NA,NA,"2097_chick1"
"560",2098,NA,2023,1,"chick2",2,1,75,"07:29","D_31_4","ND_0687",1,"D12023",0,0,0,NA,NA,NA,"2098_chick2"
"561",2755,"C5H7040",2024,1,"AM",1,1,44,"10:07","D_33_1","ND_1099",1,"D12024",1,0,0,51,4.53333333333333,2,"2755_AM"
"562",2755,"C5H7213",2024,1,"AF",0,1,44,"10:24","D_33_2","ND_1103",1,"D12024",1,0,0,78,4.81666666666667,2,"2755_AF"
"563",2100,"C5A0931",2023,1,"AM",1,1,56,"08:03","D_33_1","ND_0225",1,"D12023",0,0,0,76,2.66666666666667,1,"2100_AM"
